ID, number_of_messages, mean_time
181,41,0
182,41,0
008,46,0
025,53,0
004,46,0
201,46,0
202,45,0
224,45,0
109,6,2
227,10,1
207,10,1
305,10,1
325,10,1
046,5,2
204,5,2
345,5,2
128,5,2
308,5,2
328,5,2
368,5,2
388,5,2
3A8,5,2
430,2,4
247,1,0
007,1,0
307,1,0
441,1,0
0A0,2,3
32A,1,0
30A,1,0
108,1,0
ID, number_of_messages, mean_time
181,41,0
182,41,0
008,46,0
025,53,0
004,46,0
201,46,0
202,45,0
224,45,0
109,6,2
227,10,1
207,10,1
305,10,1
325,10,1
046,5,2
204,5,2
345,5,2
128,5,2
308,5,2
328,5,2
368,5,2
388,5,2
3A8,5,2
430,2,4
247,1,0
007,1,0
307,1,0
441,1,0
0A0,2,3
32A,1,0
30A,1,0
108,1,0
